Gene_Symbol,log2FC,P.Value,Gene_Description,Significance
ZIK1,-1.580916228,0.005081774,zinc finger protein interacting with K protein 1,Down
CEP83,1.179580506,0.004479377,centrosomal protein 83,Up
SLMAP,-1.189877802,0.004528975,sarcolemma associated protein,Down
CCDC86,1.192344538,0.004562064,coiled-coil domain containing 86,Up
FAM131A,-1.199110427,0.004596932,family with sequence similarity 131 member A,Down
SYTL4,-1.370196256,0.004887774,synaptotagmin like 4,Down
FXYD6-FXYD2,-2.661706091,0.005653974,FXYD6-FXYD2 readthrough,Down
HECTD3,-1.015083407,0.004175379,HECT domain E3 ubiquitin protein ligase 3,Down
CNIH3,2.438844449,0.005613362,cornichon family AMPA receptor auxiliary protein 3,Up
PGAP4,-1.486471675,0.005058159,post-GPI attachment to proteins GalNAc transferase 4,Down
SLC35D3,3.128550797,0.005754104,solute carrier family 35 member D3,Up
CNN2,1.132334135,0.00448672,calponin 2,Up
ATG9B,2.03147149,0.005470409,autophagy related 9B,Up
TSPAN3,-1.174117606,0.004585879,tetraspanin 3,Down
DSCAML1,-2.260299889,0.005571353,DS cell adhesion molecule like 1,Down
PAK1IP1,1.093029374,0.004417433,PAK1 interacting protein 1,Up
DPY19L2,-1.585626604,0.005190912,dpy-19 like 2,Down
LY6E,1.400953787,0.005001503,lymphocyte antigen 6 family member E,Up
OTUD6B,1.162525001,0.004612894,OTU deubiquitinase 6B,Up
POLR1D,1.159640517,0.00463127,RNA polymerase I and III subunit D,Up
ABCB5,-2.798445686,0.005742288,ATP binding cassette subfamily B member 5,Down
CLCNKA,-2.255176007,0.005610304,chloride voltage-gated channel Ka,Down
PLCB4,1.598094491,0.005249846,phospholipase C beta 4,Up
CLMN,-1.215393085,0.004762652,calmin,Down
ICOS,1.99467595,0.005522436,inducible T cell costimulator,Up
RAN,1.066756093,0.004468173,"RAN, member RAS oncogene family",Up
KIF11,1.844348669,0.005451113,kinesin family member 11,Up
SEMA3B,-1.436586112,0.005117768,semaphorin 3B,Down
MRPS23,1.103005937,0.004567006,mitochondrial ribosomal protein S23,Up
PDGFA,-1.253296741,0.004864631,platelet derived growth factor subunit A,Down
SESN2,-1.138605683,0.004686027,sestrin 2,Down
TLCD1,1.129419779,0.004672155,TLC domain containing 1,Up
PLS3,1.126218655,0.004670699,plastin 3,Up
TPM1,-2.302817718,0.00568426,tropomyosin 1,Down
SYNJ2BP,-1.044660826,0.004496203,synaptojanin 2 binding protein,Down
AMMECR1,1.06623987,0.004563686,AMMECR nuclear protein 1,Up
CAMK2G,-1.199448971,0.004858383,calcium/calmodulin dependent protein kinase II gamma,Down
CDK2,1.112080128,0.004700688,cyclin dependent kinase 2,Up
SLC38A3,2.763175805,0.005810833,solute carrier family 38 member 3,Up
NTHL1,1.150421895,0.004806749,nth like DNA glycosylase 1,Up
SCAMP2,-1.042288071,0.004576368,secretory carrier membrane protein 2,Down
ZNF749,1.216332933,0.004945948,zinc finger protein 749,Up
ZC3H8,1.339946131,0.00513537,zinc finger CCCH-type containing 8,Up
KAT2A,1.211860095,0.004981983,lysine acetyltransferase 2A,Up
TENT5C,-1.391293412,0.005231442,terminal nucleotidyltransferase 5C,Down
MPC1,-1.107518906,0.004830438,mitochondrial pyruvate carrier 1,Down
SSC4D,1.501703156,0.005372502,scavenger receptor cysteine rich family member with 4 domains,Up
GPR180,1.348076836,0.005227933,G protein-coupled receptor 180,Up
SMC2,1.126759051,0.00490515,structural maintenance of chromosomes 2,Up
TTYH3,1.282482335,0.00515567,tweety family member 3,Up
GOLM1,-1.193687639,0.005029685,golgi membrane protein 1,Down
GJA5,-1.828064587,0.005640199,gap junction protein alpha 5,Down
CCL22,1.619195773,0.005522316,C-C motif chemokine ligand 22,Up
DDX10,1.028866071,0.004782373,DEAD-box helicase 10,Up
GRAMD2B,-1.421927496,0.005403875,GRAM domain containing 2B,Down
SH2D2A,1.464686844,0.005481561,SH2 domain containing 2A,Up
CCL20,2.639175948,0.005911095,C-C motif chemokine ligand 20,Up
NFIB,-1.110268745,0.005064122,nuclear factor I B,Down
RB1,1.037619309,0.00494261,RB transcriptional corepressor 1,Up
CASP7,-2.007361155,0.00579442,caspase 7,Down
ATR,1.010340089,0.004954572,ATR serine/threonine kinase,Up
DDX39A,1.045568071,0.00504811,DExD-box helicase 39A,Up
MICALL1,-1.138870832,0.00526046,MICAL like 1,Down
ARHGAP24,-1.310822581,0.005481377,Rho GTPase activating protein 24,Down
GTF3C3,1.007946217,0.005065194,general transcription factor IIIC subunit 3,Up
MAGOHB,1.121019005,0.005260117,"mago homolog B, exon junction complex subunit",Up
ZNF473,1.051498043,0.005168053,zinc finger protein 473,Up
PM20D2,1.179525943,0.005357666,peptidase M20 domain containing 2,Up
USP6NL,1.070681932,0.005220398,USP6 N-terminal like,Up
DDX21,1.135782847,0.005319525,DExD-box helicase 21,Up
SLITRK5,-2.441552517,0.00597164,SLIT and NTRK like family member 5,Down
TMEM68,1.11166201,0.00530949,transmembrane protein 68,Up
RIMKLA,-1.266920005,0.005506662,ribosomal modification protein rimK like family member A,Down
H2AX,1.117944534,0.005334313,H2A.X variant histone,Up
FTSJ1,1.00313503,0.005171174,FtsJ RNA 2'-O-methyltransferase 1,Up
TBC1D1,-1.356245861,0.005610781,TBC1 domain family member 1,Down
CYB5D2,-1.104814551,0.005343356,cytochrome b5 domain containing 2,Down
RTEL1,1.269662185,0.005556,regulator of telomere elongation helicase 1,Up
NAA20,1.205515024,0.005565967,"N-alpha-acetyltransferase 20, NatB catalytic subunit",Up
GPR37L1,-2.06171266,0.00597825,G protein-coupled receptor 37 like 1,Down
DTD1,1.137469764,0.005529603,D-aminoacyl-tRNA deacylase 1,Up
GPRASP1,-2.159368196,0.006005891,G protein-coupled receptor associated sorting protein 1,Down
FABP2,-1.629393297,0.005867131,fatty acid binding protein 2,Down
C1QTNF12,-1.811291823,0.005945074,C1q and TNF related 12,Down
ERO1A,1.146350952,0.005571777,endoplasmic reticulum oxidoreductase 1 alpha,Up
KAT2B,-1.157254359,0.005586059,lysine acetyltransferase 2B,Down
INPP5A,-1.084048716,0.00551469,inositol polyphosphate-5-phosphatase A,Down
MEP1A,-1.439161638,0.005813247,meprin A subunit alpha,Down
LMOD1,-4.486674821,0.006173924,leiomodin 1,Down
FAM219B,-1.184481006,0.005675053,family with sequence similarity 219 member B,Down
PCDH7,-2.274495652,0.006069574,protocadherin 7,Down
ZBTB4,-1.102019199,0.005625569,zinc finger and BTB domain containing 4,Down
ATP8B1,-1.440397128,0.005880817,ATPase phospholipid transporting 8B1,Down
CCDC138,1.318329294,0.005819996,coiled-coil domain containing 138,Up
FAM83H,1.099444847,0.005676146,family with sequence similarity 83 member H,Up
NABP1,1.110461611,0.005735303,nucleic acid binding protein 1,Up
ZNF525,1.069727736,0.005705864,zinc finger protein 525,Up
CES3,-1.611464547,0.006008712,carboxylesterase 3,Down
IPO5,1.140814184,0.00578245,importin 5,Up
C2orf72,-1.170978428,0.005811651,chromosome 2 open reading frame 72,Down
ROBO3,-1.982325817,0.006102636,roundabout guidance receptor 3,Down
NEUROD1,-2.746634191,0.006181163,neuronal differentiation 1,Down
TIMM8A,1.153973967,0.005871776,translocase of inner mitochondrial membrane 8A,Up
RCN1,1.15146453,0.005877878,reticulocalbin 1,Up
LIMS2,-3.247745157,0.006220292,LIM zinc finger domain containing 2,Down
LMBR1,1.099685672,0.005858509,limb development membrane protein 1,Up
FLII,-1.009347144,0.005788461,FLII actin remodeling protein,Down
KRT18,1.290994637,0.005986218,keratin 18,Up
OSGIN1,-1.186045305,0.005963924,oxidative stress induced growth inhibitor 1,Down
HMGCS2,-1.539442156,0.006099328,3-hydroxy-3-methylglutaryl-CoA synthase 2,Down
MRTO4,1.011163688,0.005851397,"MRT4 homolog, ribosome maturation factor",Up
USP17L3,1.826766799,0.006155824,ubiquitin specific peptidase 17 like family member 3,Up
RP1L1,2.482346679,0.006219781,RP1 like 1,Up
TENM2,-2.409312622,0.006218856,teneurin transmembrane protein 2,Down
SCUBE1,-2.493381003,0.006227212,"signal peptide, CUB domain and EGF like domain containing 1",Down
PKD1,-1.125070374,0.006020136,"polycystin 1, transient receptor potential channel interacting",Down
RAB3IP,1.063820656,0.006023907,RAB3A interacting protein,Up
XRN2,1.063460272,0.006025843,5'-3' exoribonuclease 2,Up
CIRBP,-1.017622047,0.006007233,cold inducible RNA binding protein,Down
TBC1D4,1.184751952,0.006092379,TBC1 domain family member 4,Up
MEF2D,-1.053734744,0.006033772,myocyte enhancer factor 2D,Down
CPE,-1.388577245,0.006158013,carboxypeptidase E,Down
EPAS1,-1.123140649,0.006099252,endothelial PAS domain protein 1,Down
NOP56,1.107879359,0.006109886,NOP56 ribonucleoprotein,Up
TCEAL3,-1.186004534,0.00615816,transcription elongation factor A like 3,Down
NRXN3,-2.437721876,0.00629831,neurexin 3,Down
SLC52A2,1.114208246,0.006158276,solute carrier family 52 member 2,Up
ZNF251,1.348083837,0.006224679,zinc finger protein 251,Up
UTP15,1.019426904,0.00619466,UTP15 small subunit processome component,Up
PDE3A,-2.339856955,0.006323644,phosphodiesterase 3A,Down
TTLL4,1.103476312,0.006235166,tubulin tyrosine ligase like 4,Up
SHISAL1,-2.018803146,0.006322835,shisa like 1,Down
FAM50B,-1.328532776,0.006299547,family with sequence similarity 50 member B,Down
RFWD3,1.029630013,0.006254441,ring finger and WD repeat domain 3,Up
GARS1,1.040800664,0.006303668,glycyl-tRNA synthetase 1,Up
EXOC6B,-1.023467864,0.006310015,exocyst complex component 6B,Down
SLC16A10,1.470109223,0.006357335,solute carrier family 16 member 10,Up
LIPH,-1.467801719,0.006375309,lipase H,Down
NPTN,-1.629486064,0.00638035,neuroplastin,Down
EML1,-2.579062879,0.006382417,EMAP like 1,Down
DNAJB5,-2.94307629,0.006412111,DnaJ heat shock protein family (Hsp40) member B5,Down
NDNF,-1.305384342,0.006420882,neuron derived neurotrophic factor,Down
WDR77,1.061537907,0.006429053,WD repeat domain 77,Up
AMPD2,1.00350142,0.006436288,adenosine monophosphate deaminase 2,Up
ZNF107,1.221112628,0.006449134,zinc finger protein 107,Up
SYT7,1.263717944,0.006508198,synaptotagmin 7,Up
PDE8B,-2.004710632,0.006526018,phosphodiesterase 8B,Down
C14orf132,-2.487092231,0.006551965,chromosome 14 open reading frame 132,Down
ATP2B1,-1.076733799,0.006555501,ATPase plasma membrane Ca2+ transporting 1,Down
FAM114A2,-1.041449324,0.006567376,family with sequence similarity 114 member A2,Down
ADCY3,1.050404543,0.00657653,adenylate cyclase 3,Up
HSD17B11,-1.259863002,0.006589266,hydroxysteroid 17-beta dehydrogenase 11,Down
KLF15,-1.601066685,0.006599717,KLF transcription factor 15,Down
PDK2,-1.020941461,0.00660853,pyruvate dehydrogenase kinase 2,Down
TAS2R43,2.210433921,0.006609737,taste 2 receptor member 43,Up
DCC,-2.856830705,0.006613403,DCC netrin 1 receptor,Down
DNAJB4,-1.128830814,0.00661364,DnaJ heat shock protein family (Hsp40) member B4,Down
MCM6,1.226132131,0.006637141,minichromosome maintenance complex component 6,Up
ADAMTSL3,-3.3075984,0.006680614,ADAMTS like 3,Down
DHDDS,-1.068008768,0.006710159,dehydrodolichyl diphosphate synthase subunit,Down
CADM3,-3.683583975,0.006734666,cell adhesion molecule 3,Down
APOBEC3C,-1.114129327,0.006735988,apolipoprotein B mRNA editing enzyme catalytic subunit 3C,Down
GINS4,1.432745064,0.006741416,GINS complex subunit 4,Up
TET2,-1.018686204,0.006751091,tet methylcytosine dioxygenase 2,Down
NOP2,1.172176176,0.006759593,NOP2 nucleolar protein,Up
PLXNA2,-1.138944557,0.006775077,plexin A2,Down
CBFB,1.059789427,0.006850558,core-binding factor subunit beta,Up
DAPL1,2.13951823,0.0068777,death associated protein like 1,Up
LAMC2,1.399689341,0.006880034,laminin subunit gamma 2,Up
ANKRD35,-1.581998548,0.006880272,ankyrin repeat domain 35,Down
C2CD2L,-1.061554576,0.006886436,C2CD2 like,Down
MIA-RAB4B,-1.005700938,0.006898185,MIA-RAB4B readthrough (NMD candidate),Down
CCNB1IP1,1.19631598,0.00690712,cyclin B1 interacting protein 1,Up
TCF7L2,-1.116495849,0.006948592,transcription factor 7 like 2,Down
OSM,2.336738264,0.006972236,oncostatin M,Up
AOC1,-1.304687986,0.006991354,amine oxidase copper containing 1,Down
SERPINE2,1.61773507,0.006997463,serpin family E member 2,Up
TAF1A,1.455377055,0.007002784,"TATA-box binding protein associated factor, RNA polymerase I subunit A",Up
ZFYVE28,-1.136770237,0.007038598,zinc finger FYVE-type containing 28,Down
SEMA6D,-1.357093008,0.007047788,semaphorin 6D,Down
LAPTM4B,1.204687692,0.00706377,lysosomal protein transmembrane 4 beta,Up
SF3B3,1.004299946,0.007063938,splicing factor 3b subunit 3,Up
LRRC15,1.764013326,0.007070014,leucine rich repeat containing 15,Up
TPD52L2,1.032036389,0.007078135,TPD52 like 2,Up
HOXB13,-2.011159847,0.007093948,homeobox B13,Down
ATP6V1F,1.103101483,0.007107515,ATPase H+ transporting V1 subunit F,Up
ASNS,1.189369311,0.007118158,asparagine synthetase (glutamine-hydrolyzing),Up
AVPR2,-2.585902528,0.007128125,arginine vasopressin receptor 2,Down
PIF1,1.31189047,0.007135123,PIF1 5'-to-3' DNA helicase,Up
CKS1B,1.21086034,0.007136379,CDC28 protein kinase regulatory subunit 1B,Up
PERP,1.25259515,0.00721946,p53 apoptosis effector related to PMP22,Up
SNRPF,1.03623546,0.007239762,small nuclear ribonucleoprotein polypeptide F,Up
CIT,1.158355809,0.007242405,citron rho-interacting serine/threonine kinase,Up
CAD,1.052814633,0.007250939,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase",Up
C4orf46,1.484480964,0.007255612,chromosome 4 open reading frame 46,Up
PCMTD2,1.213703877,0.007270174,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2,Up
EPB41L4A,-1.848631424,0.007314031,erythrocyte membrane protein band 4.1 like 4A,Down
FSBP,2.169128405,0.007326088,fibrinogen silencer binding protein,Up
DOC2B,-1.226262634,0.00734104,double C2 domain beta,Down
KCNE4,-2.106176174,0.007363739,potassium voltage-gated channel subfamily E regulatory subunit 4,Down
BYSL,1.136313904,0.007384182,bystin like,Up
FAM217B,1.335388187,0.007387054,family with sequence similarity 217 member B,Up
C2CD4B,2.045015823,0.007420604,C2 calcium dependent domain containing 4B,Up
HROB,1.325776758,0.007425428,homologous recombination factor with OB-fold,Up
CPED1,-2.345706727,0.007441889,cadherin like and PC-esterase domain containing 1,Down
HKDC1,1.339442387,0.007454699,hexokinase domain containing 1,Up
CADPS,2.055333405,0.00745766,calcium dependent secretion activator,Up
TRIM3,-1.134613352,0.00747487,tripartite motif containing 3,Down
NRK,-2.656229683,0.007485038,Nik related kinase,Down
PRRT1,-1.935984289,0.007554726,proline rich transmembrane protein 1,Down
BEST2,-4.313040799,0.007575413,bestrophin 2,Down
SGSM2,-1.077634858,0.007589293,small G protein signaling modulator 2,Down
DSN1,1.192169006,0.007601414,DSN1 component of MIS12 kinetochore complex,Up
ARL11,1.686032132,0.007604889,ADP ribosylation factor like GTPase 11,Up
IL2RA,1.359442872,0.007627455,interleukin 2 receptor subunit alpha,Up
RASL11B,2.416257297,0.007638707,RAS like family 11 member B,Up
LMO3,-4.677321862,0.007701872,LIM domain only 3,Down
SEMA3F,1.23806233,0.007703441,semaphorin 3F,Up
ZNF593,1.134261709,0.007722783,zinc finger protein 593,Up
TARBP1,1.18804246,0.007806627,TAR (HIV-1) RNA binding protein 1,Up
IMMP2L,1.112299432,0.007827086,inner mitochondrial membrane peptidase subunit 2,Up
TMEM121B,2.013860915,0.007860699,transmembrane protein 121B,Up
GUCD1,-1.063156427,0.007875961,guanylyl cyclase domain containing 1,Down
TPSD1,-2.497215543,0.007879925,tryptase delta 1,Down
F12,1.770525341,0.00788961,coagulation factor XII,Up
PPP1R12A,-1.128427063,0.007904832,protein phosphatase 1 regulatory subunit 12A,Down
SOX8,-1.882636722,0.007954235,SRY-box transcription factor 8,Down
CDK20,-1.116584678,0.007971874,cyclin dependent kinase 20,Down
MYH7,-2.329996254,0.007985912,myosin heavy chain 7,Down
NLE1,1.022741935,0.007989192,notchless homolog 1,Up
TUBB2A,-1.256029043,0.007990172,tubulin beta 2A class IIa,Down
TRMT11,1.01777501,0.007991863,tRNA methyltransferase 11 homolog,Up
UTY,3.988356996,0.008002739,"ubiquitously transcribed tetratricopeptide repeat containing, Y-linked",Up
CCDC34,1.131839413,0.008022772,coiled-coil domain containing 34,Up
SERPIND1,2.246194897,0.008029857,serpin family D member 1,Up
CEBPD,-1.130622216,0.00803017,CCAAT enhancer binding protein delta,Down
SH2D1A,1.691319167,0.008075,SH2 domain containing 1A,Up
GPR141,1.91905513,0.008096775,G protein-coupled receptor 141,Up
MUC5AC,2.990093779,0.008133094,"mucin 5AC, oligomeric mucus/gel-forming",Up
PLCXD2,1.368511728,0.008145037,phosphatidylinositol specific phospholipase C X domain containing 2,Up
SNCA,-1.982205588,0.008146708,synuclein alpha,Down
PLA2G10,-1.751461393,0.008165212,phospholipase A2 group X,Down
CSTF1,1.019761324,0.00816612,cleavage stimulation factor subunit 1,Up
ZWILCH,1.123866977,0.008197785,zwilch kinetochore protein,Up
C16orf89,-2.482433153,0.008220883,chromosome 16 open reading frame 89,Down
CLCN5,1.162424924,0.008235597,chloride voltage-gated channel 5,Up
LYAR,1.12240266,0.008268344,Ly1 antibody reactive,Up
HUNK,1.36088414,0.008319937,hormonally up-regulated Neu-associated kinase,Up
SASH1,-1.030628246,0.008364629,SAM and SH3 domain containing 1,Down
ZNF267,1.162535065,0.008367057,zinc finger protein 267,Up
FAM24B,1.485125723,0.00839398,family with sequence similarity 24 member B,Up
ENTPD8,-2.886919213,0.008395489,ectonucleoside triphosphate diphosphohydrolase 8,Down
MMP14,1.168046336,0.008426318,matrix metallopeptidase 14,Up
DLGAP1,-2.234926401,0.008438517,DLG associated protein 1,Down
NUP37,1.02348444,0.008439903,nucleoporin 37,Up
MAST3,-1.021048008,0.008456404,microtubule associated serine/threonine kinase 3,Down
TWNK,1.190331713,0.008469298,twinkle mtDNA helicase,Up
C1orf21,-1.180427055,0.00847023,chromosome 1 open reading frame 21,Down
HDAC4,-1.088236647,0.008502136,histone deacetylase 4,Down
PROX1,1.369496616,0.008506062,prospero homeobox 1,Up
PDE4C,-2.127629511,0.008570427,phosphodiesterase 4C,Down
UTP20,1.059914999,0.008582792,UTP20 small subunit processome component,Up
EBF2,2.130302122,0.008644193,EBF transcription factor 2,Up
CENPU,1.208011528,0.0087992,centromere protein U,Up
PRADC1,-1.185268334,0.008807853,protease associated domain containing 1,Down
TP53INP1,-1.07250491,0.008810206,tumor protein p53 inducible nuclear protein 1,Down
ZNF132,-1.586861976,0.008841249,zinc finger protein 132,Down
MYCN,2.540528612,0.008842093,"MYCN proto-oncogene, bHLH transcription factor",Up
SNRPD2,1.086095385,0.008843319,small nuclear ribonucleoprotein D2 polypeptide,Up
TAFA5,2.074761121,0.008879881,TAFA chemokine like family member 5,Up
OCA2,2.70647512,0.008885345,OCA2 melanosomal transmembrane protein,Up
INSR,-1.080298851,0.008969041,insulin receptor,Down
ECH1,-1.111501451,0.009014353,enoyl-CoA hydratase 1,Down
LAMA2,-1.147405699,0.00901838,laminin subunit alpha 2,Down
GLS,1.094968134,0.009019924,glutaminase,Up
SLC12A2,1.837754106,0.009020053,solute carrier family 12 member 2,Up
MAMLD1,-1.936601154,0.0090297,mastermind like domain containing 1,Down
PRIM1,1.107547374,0.009065153,DNA primase subunit 1,Up
ST3GAL3,-1.419833872,0.009081433,"ST3 beta-galactoside alpha-2,3-sialyltransferase 3",Down
IYD,1.366877115,0.009098586,iodotyrosine deiodinase,Up
KLHL32,2.094867245,0.009117406,kelch like family member 32,Up
PBK,2.080544431,0.009131915,PDZ binding kinase,Up
GFI1B,-2.512751598,0.009157337,growth factor independent 1B transcriptional repressor,Down
SPATA33,1.127469134,0.009176128,spermatogenesis associated 33,Up
TMCC2,-1.448731764,0.009191289,transmembrane and coiled-coil domain family 2,Down
